isbn13,bookname,authors,publisher,class_no,class_nm
9788983921468,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788988537015,천년의 금서 :김진명 장편소설 ,지은이: 김진명,새움출판사,813.6,문학 > 한국문학 > 소설
9788983921994,해리포터와 혼혈왕자,조앤 K. 롤링 저;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788955856279,엽기 과학자 프래니,글·그림: 짐 벤튼;옮김: 박수현,언어세상,843,문학 > 영미문학 > 소설
9788932905075,나무,베르나르 베르베르 지음;이세욱 옮김,열린책들,863,문학 > 프랑스문학 > 소설
9788956250595,남한산성:김훈 장편소설,김훈,학고재,813.6,문학 > 한국문학 > 소설
9788995690260,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,539,"기술과학 > 공학, 공업일반 > 위생, 도시, 환경공학"
9788937884047,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,400,자연과학 > 자연과학 > 자연과학
9788950939618,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
9788949100203,아씨방 일곱 동무,이영경 글.그림,비룡소,813.8,문학 > 한국문학 > 소설
9788950937911,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
9788993055207,윔피 키드,"글, 그림: 제프 키니 ;양진성",푸른날개,843,문학 > 영미문학 > 소설
9788984315112,엄마 수업 :법륜 스님이 들려주는 우리 아이 지혜롭게 키우는 법 ,법륜 지음 ;이순형 그림,한겨례출판,598.1,기술과학 > 가정학 및 가정생활 > 육아
9788995690253,(KBS 위기탈출) 넘버원,구성: 에듀코믹 ;원 프로덕션,밝은미래,539,"기술과학 > 공학, 공업일반 > 위생, 도시, 환경공학"
9788950948030,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
9788926391136,(코믹 메이플스토리) 수학도둑 :사고력과 이해력을 향상시켜 주는 국내 최초 수학논술만화,글: 송도수 ;서정 엔터테인먼트,서울문화사,410,자연과학 > 수학 > 수학
9788983921475,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788983922564,해리포터와 죽음의 성물,조앤 K 롤링 지음 ;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788962245202,(제로니모의) 환상모험,글: 제로니모 스틸턴 ;이승수,이퍼블릭,883,문학 > 이탈리아문학 > 소설
9788983921987,해리포터와 혼혈왕자,조앤 K. 롤링 저;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788955856248,엽기 과학자 프래니,글·그림: 짐 벤튼;옮김: 박수현,언어세상,843,문학 > 영미문학 > 소설
9788957364475,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나출판사,400,자연과학 > 자연과학 > 자연과학
9788993055122,윔피 키드,"글, 그림: 제프 키니 ;양진성",푸른날개,843,문학 > 영미문학 > 소설
9791196025861,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,911,역사 > 아시아(아세아) > 한국
9788973374939,눈먼 자들의 도시,주제 사라마구 지음;정영목 옮김,해냄출판사,879,문학 > 스페인문학 > 포르투갈문학
9788926390283,(코믹 메이플스토리) 수학도둑 :사고력과 이해력을 향상시켜 주는 국내 최초 수학논술만화,글: 송도수 ;서정 엔터테인먼트,서울문화사,410,자연과학 > 수학 > 수학
9788983921970,해리포터와 혼혈왕자,조앤 K. 롤링 저;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788936456221,우아한 거짓말 :김려령 장편소설 ,김려령,창비,813.7,문학 > 한국문학 > 소설
9788983921451,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788937884054,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,400,자연과학 > 자연과학 > 자연과학
9788943305796,우리 가족입니다,이혜란 지음,보림출판사,813.6,문학 > 한국문학 > 소설
